min_knots;max_knots;min_weight;max_weight;min_sail;max_sail;beginner;intermediate;advanced
28;29;75;85;missing;missing;too high;too high;too high
28;29;85;95;missing;missing;too high;too high;too high
28;29;95;missing;missing;missing;too high;too high;too high
29;30;missing;55;missing;missing;too high;too high;too high
29;30;55;65;missing;missing;too high;too high;too high
29;30;65;75;missing;missing;too high;too high;too high
29;30;75;85;missing;missing;too high;too high;too high
29;30;85;95;missing;missing;too high;too high;too high
29;30;95;missing;missing;missing;too high;too high;too high
30;31;missing;55;missing;missing;too high;too high;too high
30;31;55;65;missing;missing;too high;too high;too high
30;31;65;75;missing;missing;too high;too high;too high
30;31;75;85;missing;missing;too high;too high;too high
30;31;85;95;missing;missing;too high;too high;too high
30;31;95;missing;missing;missing;too high;too high;too high
